X,Y,OBJECTID,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_ENC,CBML,TIPO_GEOCOD,GRAVEDAD,BARRIO,COMUNA,DISENO,DIA_NOMBRE,MES,MES_NOMBRE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.6058873684679,6.22275163091513,753145,1705201,2020/01/26 00:00:00+00,11:30:00,26,2020,Caida Ocupante,CR 83 CL 17,CR  083   017  000 00000,1612,Malla vial,HERIDO,La Gloria,Belén,Lote o Predio,DOMINGO  ,01,ENERO     ,830840.14,1180102.79,-75.60588737,6.22275163
-75.568099074723,6.27759162711634,753146,1705582,2020/01/26 00:00:00+00,11:50:00,26,2020,Choque,CR 60 CL 58,CR  060   058  000 00000,0405,Malla vial aproximada: CR 60-59,SOLO DAÑOS,Moravia,Aranjuez,Tramo de via,DOMINGO  ,01,ENERO     ,835023.12,1186168.67,-75.56809908,6.27759163
-75.5553521484593,6.27918900201119,753147,1705190,2020/01/26 00:00:00+00,12:00:00,26,2020,Otro,CL 86 CR 48,CL  086   048  000 00000,0411,Malla vial,HERIDO,Las Esmeraldas,Aranjuez,Lote o Predio,DOMINGO  ,01,ENERO     ,836433.98,1186345.37,-75.55535215,6.279189
-75.5827077732772,6.29326959228978,753148,1705203,2020/01/26 00:00:00+00,12:00:00,26,2020,Atropello,CR 79 A CL 95,CR  079 A   095  000 00000,0608,EPM con Interior,HERIDO,Picacho,Doce de Octubre,Interseccion,DOMINGO  ,01,ENERO     ,833406.25,1187902.9,-75.58270777,6.29326959
-75.5527303831005,6.28424320433348,753149,1705182,2020/01/26 00:00:00+00,12:10:00,26,2020,Choque,CL 93 CR 45 A,CL  093   045 A  000 00000,0401,Malla vial,HERIDO,Berlin,Aranjuez,Interseccion,DOMINGO  ,01,ENERO     ,836724.15,1186904.44,-75.55273038,6.2842432
-75.5706162555544,6.27608112387564,753150,1705415,2020/01/26 00:00:00+00,12:15:00,26,2020,Choque,CR 64 C CL 78,CR  064 C   078  000 00000,0516,Malla vial aproximada: CR 64A-78,SOLO DAÑOS,Terminal de Transporte,Castilla,Tramo de via,DOMINGO  ,01,ENERO     ,834744.51,1186001.59,-75.57061626,6.27608112
-75.5630178277252,6.24134287012022,753151,1705569,2020/01/26 00:00:00+00,12:25:00,26,2020,Choque,CR 39 B CL 44,CR  039 B   044  000 00000,0912,Malla vial,SOLO DAÑOS,El Salvador,Buenos Aires,Tramo de via,DOMINGO  ,01,ENERO     ,835585.54,1182159.06,-75.56301783,6.24134287
-75.6322989980699,6.23216077145259,753152,1705151,2020/01/26 00:00:00+00,12:30:00,26,2020,Volcamiento,CL 31 A CR 113,CL  031 A   113  000 00000,7086,Malla vial aproximada: CL 30-112,HERIDO,Suburbano Aguas Frias,Corregimiento de Altavista,Lote o Predio,DOMINGO  ,01,ENERO     ,827916.66,1181143.87,-75.632299,6.23216077
-75.5656937260184,6.21681887718177,753153,1705665,2020/01/26 00:00:00+00,12:30:00,26,2020,Choque,CL 17 CR 37 A,CL  017   037 A  000 00000,1404,Malla vial,SOLO DAÑOS,Castropol,El Poblado,Tramo de via,DOMINGO  ,01,ENERO     ,835289.34,1179446.37,-75.56569373,6.21681888
-75.5900453141133,6.28649318918837,753154,1705146,2020/01/26 00:00:00+00,12:40:00,26,2020,Choque,CR 88 CL 78 A,CR  088   078 A  000 00000,0711,Malla vial,HERIDO,El Diamante,Robledo,Lote o Predio,DOMINGO  ,01,ENERO     ,832594.1,1187153.37,-75.59004531,6.28649319
-75.5705612624085,6.29542158518158,753155,1704928,2020/01/26 00:00:00+00,12:40:00,26,2020,Choque,CR 68 CL 100,CR  068   100  000 00000,0509,Malla vial,HERIDO,Girardot,Castilla,Interseccion,DOMINGO  ,01,ENERO     ,834750.62,1188140.91,-75.57056126,6.29542158
-75.5791424709608,6.25163426281325,753156,1705315,2020/01/26 00:00:00+00,01:10:00,26,2020,Choque,CR 63 CL 48,CR  063   048  000 00000,1102,Malla vial,SOLO DAÑOS,Suramericana,Laureles Estadio,Tramo de via,DOMINGO  ,01,ENERO     ,833800.73,1183297.45,-75.57914247,6.25163426
-75.5665387575526,6.24886264432826,753157,1705013,2020/01/26 00:00:00+00,01:15:00,26,2020,Choque,CR 48 CL 50,CR  048   050  000 00000,1019,Malla vial,SOLO DAÑOS,La Candelaria,La Candelaria,Interseccion,DOMINGO  ,01,ENERO     ,835195.81,1182990.85,-75.56653876,6.24886264
-75.5880054059707,6.27860131278791,753158,1704948,2020/01/26 00:00:00+00,01:20:00,26,2020,Choque,CR 80 CL 77,CR  080   077  000 00000,0715,Malla vial aproximada: CR 80-76,HERIDO,Villa Flora,Robledo,Interseccion,DOMINGO  ,01,ENERO     ,832819.84,1186280.41,-75.58800541,6.27860131
-75.5539949196909,6.24045082813692,753159,1705152,2020/01/26 00:00:00+00,01:45:00,26,2020,Volcamiento,CR 31 CL 48,CR  031   048  000 00000,0907,Malla vial,HERIDO,Buenos Aires,Buenos Aires,Lote o Predio,DOMINGO  ,01,ENERO     ,836584.29,1182060.4,-75.55399492,6.24045083
