FECHA;ACCIDENTES;PRECIPITACION_PROM;ATROPELLOS;CHOQUES;CAIDAD_OCU;VOLCAMIENTOS;OTRO;MUERTOS;DANOS;HERIDOS;SEMANA_SANTA;VAC_MITAD_ANO;FERIA_FLORES;VAC_DICIEMBRE;PERIODO;MES;DIA_NOMBRE;DIA_MUJER;DIA_MADRE
2014-01-01; 74;0,000000000;13; 35; 7; 1;18;0; 18; 56;0;0;0;0;2014;enero;miércoles;0;0
2014-01-02; 72;0,133333333;12; 43; 7; 1; 9;0; 30; 42;0;0;0;0;2014;enero;jueves;0;0
2014-01-03; 93;0,037500000; 7; 67; 5; 1;13;0; 42; 51;0;0;0;0;2014;enero;viernes;0;0
2014-01-04; 68;0,208333333;11; 40; 7; 1; 9;1; 27; 40;0;0;0;0;2014;enero;sábado;0;0
2014-01-05; 67;0,120833333; 6; 43; 5; 3;10;1; 31; 35;0;0;0;0;2014;enero;domingo;0;0
2014-01-06; 43;0,000000000; 4; 23; 5; 2; 9;2; 14; 27;0;0;0;0;2014;enero;lunes;0;0
2014-01-07;100;0,004166667;10; 64;10; 2;14;3; 45; 52;0;0;0;0;2014;enero;martes;0;0
2014-01-08; 77;0,000000000; 7; 46;17; 0; 7;0; 31; 46;0;0;0;0;2014;enero;miércoles;0;0
2014-01-09; 86;0,000000000;14; 57; 9; 3; 3;2; 41; 43;0;0;0;0;2014;enero;jueves;0;0
2014-01-10;100;0,037500000; 8; 77; 8; 0; 7;1; 57; 42;0;0;0;0;2014;enero;viernes;0;0
2014-01-11; 97;0,000000000; 9; 55;18; 2;13;1; 36; 60;0;0;0;0;2014;enero;sábado;0;0
2014-01-12; 69;0,000000000; 6; 48; 7; 2; 6;1; 30; 38;0;0;0;0;2014;enero;domingo;0;0
2014-01-13;109;0,320833333;15; 67;10; 3;14;1; 46; 62;0;0;0;0;2014;enero;lunes;0;0
2014-01-14; 95;0,029166667; 8; 64;12; 1;10;2; 48; 45;0;0;0;0;2014;enero;martes;0;0
2014-01-15;117;0,000000000;22; 77; 6; 2;10;3; 48; 66;0;0;0;0;2014;enero;miércoles;0;0
2014-01-16;107;0,208333333;13; 67;13; 3;11;2; 47; 58;0;0;0;0;2014;enero;jueves;0;0
2014-01-17;113;0,308333333;13; 84; 6; 0;10;1; 60; 52;0;0;0;0;2014;enero;viernes;0;0
2014-01-18;106;0,000000000;13; 70; 9; 1;13;0; 46; 60;0;0;0;0;2014;enero;sábado;0;0
2014-01-19; 64;0,000000000; 6; 42; 6; 1; 9;1; 31; 32;0;0;0;0;2014;enero;domingo;0;0
2014-01-20;117;0,025000000; 6; 89;14; 1; 7;1; 62; 54;0;0;0;0;2014;enero;lunes;0;0
2014-01-21;105;0,004166667;12; 70; 8; 2;13;0; 50; 55;0;0;0;0;2014;enero;martes;0;0
2014-01-22;120;0,000000000;10; 89; 6; 5;10;0; 64; 56;0;0;0;0;2014;enero;miércoles;0;0
2014-01-23;101;0,000000000;17; 66; 5; 0;12;0; 48; 53;0;0;0;0;2014;enero;jueves;0;0
2014-01-24;112;0,091666667;11; 84; 8; 1; 8;1; 57; 54;0;0;0;0;2014;enero;viernes;0;0
2014-01-25; 97;0,000000000; 8; 65; 5; 0;19;1; 51; 45;0;0;0;0;2014;enero;sábado;0;0
2014-01-26; 75;0,054166667;12; 27;11; 2;23;0; 18; 57;0;0;0;0;2014;enero;domingo;0;0
2014-01-27;141;0,079166667;18; 98; 6; 5;14;1; 69; 71;0;0;0;0;2014;enero;lunes;0;0
2014-01-28;129;0,000000000;19; 81; 7; 7;15;2; 61; 66;0;0;0;0;2014;enero;martes;0;0
2014-01-29; 93;0,000000000; 5; 71; 9; 2; 6;0; 50; 43;0;0;0;0;2014;enero;miércoles;0;0
2014-01-30;100;0,004166667; 9; 59; 8; 2;22;0; 46; 54;0;0;0;0;2014;enero;jueves;0;0
2014-01-31;144;0,000000000;18;102;10; 0;14;2; 68; 74;0;0;0;0;2014;enero;viernes;0;0
2014-02-01;119;0,091666667;15; 79; 9; 1;15;1; 54; 64;0;0;0;0;2014;febrero;sábado;0;0
2014-02-02; 65;0,050000000;12; 33; 8; 3; 9;2; 23; 40;0;0;0;0;2014;febrero;domingo;0;0
2014-02-03;132;0,000000000;15; 89; 9; 0;19;1; 58; 73;0;0;0;0;2014;febrero;lunes;0;0
2014-02-04;108;0,045833333;14; 73; 8; 0;13;0; 55; 53;0;0;0;0;2014;febrero;martes;0;0
2014-02-05;113;0,020833333;15; 74;10; 3;11;1; 58; 54;0;0;0;0;2014;febrero;miércoles;0;0
2014-02-06;139;0,000000000;15; 85;12; 5;22;2; 64; 73;0;0;0;0;2014;febrero;jueves;0;0
2014-02-07;138;0,012500000;17; 89;10; 4;18;1; 58; 79;0;0;0;0;2014;febrero;viernes;0;0
2014-02-08; 93;0,037500000; 8; 70; 5; 4; 6;1; 53; 39;0;0;0;0;2014;febrero;sábado;0;0
2014-02-09; 78;0,000000000;14; 41;12; 1;10;0; 23; 55;0;0;0;0;2014;febrero;domingo;0;0
2014-02-10;156;0,045833333;12;104;18; 2;20;1; 76; 79;0;0;0;0;2014;febrero;lunes;0;0
2014-02-11;120;0,000000000;13; 86; 6; 3;12;1; 66; 53;0;0;0;0;2014;febrero;martes;0;0
2014-02-12;133;0,000000000;14; 87; 9; 2;21;0; 62; 71;0;0;0;0;2014;febrero;miércoles;0;0
2014-02-13;163;0,095833333;12;106;15; 8;22;0; 71; 92;0;0;0;0;2014;febrero;jueves;0;0
2014-02-14;112;0,029166667; 9; 74; 4; 2;23;0; 50; 62;0;0;0;0;2014;febrero;viernes;0;0
2014-02-15;105;0,470833333;13; 74; 8; 3; 7;0; 48; 57;0;0;0;0;2014;febrero;sábado;0;0
2014-02-16; 75;0,041666667;13; 44; 7; 0;11;1; 28; 46;0;0;0;0;2014;febrero;domingo;0;0
2014-02-17;121;0,000000000; 8; 84;17; 0;12;0; 62; 59;0;0;0;0;2014;febrero;lunes;0;0
2014-02-18;121;0,000000000;15; 87; 9; 2; 8;0; 54; 67;0;0;0;0;2014;febrero;martes;0;0
